2/11/2017 13:20,"RUA VIOLETA SIMÕES AZEVEDO , 380 - GABRIELA",PX SUPERMERCADO É MAIS
2/11/2017 13:25,"AVENIDA SENHOR DOS PASSOS, 139 - CENTRO",Referência: PX FISK
2/11/2017 19:48,"AVENIDA SANTO ANTONIO , 306 - CAPUCHINHOS",PX SALÃO DE PAIXÃO
3/11/2017 08:30,"RUA CAPISTRANO, 70 - CONCEICAO",APOS A CRECHE TIO JONAS
3/11/2017 08:37,"RUA ITACURUCA, 30A - SANTO ANTONIO DOS PRAZERES",NA RUA DO SUPERMERCADO NOVA OPÇÃO
3/11/2017 09:50,"RUA FREI CANECA, 51 - CAMPO DO GADO",PROXIMO AO MASSA BEER; SENTIDO SHOPPING
3/11/2017 12:35,"RUA CRUZ E SOUZA, 29 - CENTRO",VIZINHO AO BAR E RESTAURANTE EUCLIDENCE
3/11/2017 17:15,"RUA SARANDI, 399 - CAMPO LIMPO",PX/ A OFICINA SINHO CHAPARIA
3/11/2017 17:21,"RUA CRUZ E SOUZA, 25 - CENTRO",PX ESCOLA JOÃO PAULO
4/11/2017 09:18,"RUA TABAPUA, 330 - TOMBA",PX A RUA LIBRA
4/11/2017 11:19,"RUA ANGRA DOS REIS, 57 - PONTO CENTRAL",PX A ACADEMIA SPACE PARK
6/11/2017 10:41,"RUA PARAGUAI, 244 - CASEB",PX A QUEIROZ
6/11/2017 10:40,"CAMINHO 19, 16 - CONJUNTO JOMAFA - BRASILIA",
6/11/2017 10:46,"RUA ARAPIRACA, SN - CAMPO LIMPO",PX AO CONDOMÍNIO JJ LOPES DE BRITO
6/11/2017 11:47,"RUA ALOMIRANTE BARROSO, SN - CAMPO DO GADO VELHO","PROX A HORTA, LOTEAMENTO PQ SERVILIA"
6/11/2017 11:52,"RUA ANTENOR MOREIRA PINHO, 379 - JARDIM ACACIA",PX COLÉGIO DISPENSÁRIO SANTANA
6/11/2017 11:57,"RUA ROCHA POMBO , 438 - CONCEIÇÃO II",PX CAPELA NOSSA SENHORA DE FATIMA
6/11/2017 12:09,"RUA ANGRA DOS REIS, 67 - PONTO CENTRAL",FUNDO DA SPACE PARQUE
6/11/2017 14:36,"RUA SILVINA MARQUES DE OLIVEIRA, 838 - TOMBA",PX IGREJA CAMINHO PARA O CEU
6/11/2017 15:00,"RUA PRIMAVERA, 1043 - PAMPALONA",POSTO DE GASOLINA SANTA MARIA
6/11/2017 16:06,"RUA ANTONIO TORRES COELHO, 347 - SANTA MONICA",PX AO BUFÊ SANTA MONICA
6/11/2017 18:50,"RUA PLATINA, S/N - RUA NOVA",SUPERMERCADO QUE PREÇO
7/11/2017 08:05,"RUA CAMINHO 2, 170 - LOTEAMENTO AMARALINA- GABRIELA",PX/ AO ABATEDOR DE FRANGO
7/11/2017 08:28,"RUA JOANA ANGELICA, 179 - SERRARIA BRASIL",AP LADO DO COLEGIO GENERAL OSORIO
7/11/2017 10:00,"RUA CINCO, 1 - LOTEAMENTO ELZA -  TOMBA",PROXIMO AO PARQUE DA CIDADE (TRANSVERSAL A RUA EL SALVADOR)
7/11/2017 12:12,"RUA MERCURIO, 550 - JARDIM ACACIA",PX. DISPENSARIO SANTANA
7/11/2017 15:53,"AVENIDA GOVERNADOR JOAO DURVAL CARNEIRO, 11 - BRASILIA",PX COLÉGIO POLI VALENTE
7/11/2017 15:56,"RUA CONCORDIA, 350 - SÃO JOÃO",FUNDO DO EX-COMBATENTE
7/11/2017 17:57,"RUA PRIMAVERA, SN - ASA BRANCA",POSTO DE GASOLINA PAMPALONA
7/11/2017 19:14,"RUA E, 32 / 36 - PARQUE BELA VISTA - GABRIELA",PX AO FUNDO DA OFICINA VOLVO
7/11/2017 19:50,"RUA OSCAR MESQUITA, 103 - BARAUNAS",PX AO DEPOSITO ERGUER
8/11/2017 09:45,"RUA CORINTO, 92 - TOMBA",UMA RUA DEPOIS DA RUA DA OFICINA ARAUJO
8/11/2017 13:02,"RUA GARANHÕES, 710 A - CONCEICAO",PX A QUADRA ESPORTIVA
8/11/2017 15:07,"RUA CLOVIS BEVILACQUA, 72 - SERRARIA BRASIL",2° TRAVESSA DEPOIS DA SEXTA DO POVO
8/11/2017 17:24,"RUA APOLO XI, 355 - CONJUNTO GEORGE AMÉRICO- CAMPO LIMPO",PX BASE COMUNITÁRIA
8/11/2017 19:27,"RUA NOSSA SENHORA DA PIEDADE, 710 - SANTA MONICA",PX. AO CLUBE DOS BANCÁRIOS
8/11/2017 19:30,"RUA SÃO JORGE, 397 - SANTA MONICA",PX CLUBE DOS BANCARIOS
9/11/2017 14:25,"RUA SENADOR QUINTINO , 4555 - AVIARIO",PROX AO CONDOMINIO AQUARIUS
9/11/2017 16:06,"RUA SÃO JOSE , 18 - NOVO HORIZONTE",PX AO BAR DO GILSO
9/11/2017 16:13,"RUA ITABORAI, 133 - CAMPO LIMPO",MERCADINHO AGUIAR
9/11/2017 18:10,"2A TRAV EL SALVADOR, S/N - 35 BI",CENTRO AUTOMOTIVO BAHIA CAR
9/11/2017 22:54,"RUA E, 46 - PARQUE BELA VISTA - GABRIELA II",PX AO FUNDO DA OFICINA VOLVO
11/11/2017 10:07,"RUA L , 1 - FEIRA X",PX AO COLÉGIO IDEAL
11/11/2017 10:31,"RUA JOSE PEREIRA MASCARENHAS , 584 - CAPUCHINHOS",PADARIA JOÃO PAULO
11/11/2017 10:35,"RUA JOSE PEREIRA MASCARENHAS , 584 - CAPUCHINHOS",PADARIA JOÃO PAULO
12/11/2017 11:52,"RUA DO SOL, 155 - CONJ. LIBERDADE - AVIARIO",PX- BAR E MERCEARIA DO VALDIR
13/11/2017 08:49,"RUA ARARIPE , 26 - PAMPALONA",ENTRADA DO BAR DE ZÊ PERNINHA
13/11/2017 09:34,"RUA CAMPOS SALES , 2400 - CAMPO LIMPO",PX A MERCEARIA DE UILSON
13/11/2017 11:49,"RUA ESTRELA CADENTE, 27 - AVIARIO",PX AO MATERIAL DE CONSTRUÇÃO DO GALEGO
13/11/2017 14:39,"RUA LEONE SOARES , 25 - SANTA MÔNICA II",PX AO MERCADINHO AGINALDO
13/11/2017 15:14,"TRAVESSA LEONI SOARES , 16 - SANTA MÔNICA II",PX AO MERCADINHO DO SEU AGINAUDO
13/11/2017 16:23,"RUA COMENDADOR GOMES, 523 - PANORAMA",EM FRENTE AO MERCADO PORTO
14/11/2017 07:16,"RUA PLATINA, 190 - RUA NOVA",PX/ AO MERCADINHO KI-PREÇO
14/11/2017 09:03,"AVENIDA SÉRGIO CARNEIRO, 359 - SANTO ANTONIO DOS PRAZERES",PX. A PRACINHA DE SANTO ANTÔNIO DOS PRAZERES
14/11/2017 11:15,"RUA JOSE AMERICO, 368 - CONCEIÇÃO II",PROX. A IGREJA ASSEMBLEIA DE DEUS
14/11/2017 14:03,"RUA TAIPAS , 46 - GABRIELA",PX REALCE EVENTOS
14/11/2017 15:37,"RUA JERUZALEM , 30 - LIBERDADE",PX RESTAURANTE DE DONA NEGA
14/11/2017 17:43,"RUA SILVA, 157 - CONJ. SITIO MATIAS - TOMBA",PX. POSTO DE SAÚDE
16/11/2017 07:57,"RUA TABAPUA, 330 - TOMBA",PX GEOJA CHAMA
16/11/2017 08:30,"RUA B, 19 CAMINHO G18 - FEIRA X",PX/ AO VERDURÃO
16/11/2017 09:38,"RUA 15 DE NOVEMBRO, 109 - BARAUNAS",P/X A SEDE DO ESPORTE CLUBE RIACHUELO
16/11/2017 09:42,"RUA BARROQUINHA, 380 - JARDIM CRUZEIRO",PX/ MOTEL HOLLYOOD 2
16/11/2017 10:07,"RUA NOSSA SENHORA DA PIEDADE, SN - SANTA MONICA",LATERAL DO CLUBE DOS BANCARIOS
16/11/2017 10:10,"RUA JOANA ANGELICA, 179 - SERRARIA BRASIL",AP LADO DO COLEGIO GENERAL OSORIO
16/11/2017 11:51,"RUA GALPÃO, 167 - CAMPO LIMPO",PX/ A IGREJA ADVENTISTA DO SETIMO DIA
16/11/2017 18:55,"ESTRADA DO FEIJAO , S/N - BONFIM DE FEIRA",SITIO UMBUZEIRO
16/11/2017 19:03,"RUA N CAMINHO C 24, 03 - CONJUNTO FEIRA X - MUCHILA",PX PIZZARIA PAIZAÃO
17/11/2017 08:36,"RUA AFONSO CELSO, 310 - TOMBA",PX A FARMACIA PANORAMA
17/11/2017 09:19,"RUA GENERAL MOURÃO FILHO, SN - SERRARIA BRASIL",PRÓX A OFICINA MECÂNICA SOUZA
17/11/2017 16:05,"AVENIDA CENTRO DAS INDUSTRIAS, 130 - CENTRO INDUSTRIAL SUBAE",
17/11/2017 16:40,"RUA ITACAMBIRA, 145 - MUCHILA I",
17/11/2017 18:05,"RUA AREAL BASILIO, 309 - OLHOS D'AGUA",
17/11/2017 20:07,"RUA LONDRINA, 34 - CAMPO DO GADO",
17/11/2017 21:20,"RUA G, 24 - CONJUNTO BELA VISTA - GABRIELA II",PX A OFICINA VOLVO
18/11/2017 07:47,"RUA LONDRINA, 76 - CAMPO DO GADO",
19/11/2017 18:49,"RUA ATENAS , 280 - PAPAGAIO",MADEREIRA PLF
20/11/2017 09:08,"RUA D-1, SN - GEORGE AMERICO",PRÓXIMO A FARMÁCIA SÃO JORGE
20/11/2017 09:23,"RUA AFONSO CELSO, SN - PANORAMA",PROX AO POSTO DE SAÚDE
21/11/2017 08:44,"RUA ESCALADA, 400 - GABRIELA II",PX/ A IGREJA ASSEMBLEIA DE DEUS
21/11/2017 09:02,"RUA RIACHO DOCE, 21 - VILA GABRIELA",PX A BICA DA GABRIELA
21/11/2017 09:38,"RUA TABAPUA, 330 - TOMBA",
21/11/2017 09:56,"RUA SAO GONCALO, 230 - PONTO CENTRAL",PX COLEGIO DIPLOMATA
21/11/2017 10:30,"TRAVESSA TANCREDO NEVES, SN - CAMPO DO GADO NOVO",FUNDO DO POSTO DE SAÚDE DA FAMILIA
21/11/2017 10:36,"RUA FAZENDA BOA HORA, SN - LOT JARDIM COLORADO - TOMBA",
22/11/2017 09:16,"RUA RIACHO DOCE, 21 - VILA GABRIELA",
22/11/2017 10:06,"RUA MISSIONARIA, 90 - TOMBA",
22/11/2017 10:44,"RUA CARMO DE MINAS , 230 - CONCEIÇÃO II",
22/11/2017 10:48,"RUA INÁCIO SOARES COSTA, 152 - CAMPO LIMPO",PX/ MECEARIA DO CAMPO LIMPO
23/11/2017 07:43,"RUA AGUIA DORADA, 51 - LOTEAMENTO ALTO DA -TOMBA",PX/ AO BAR SAO LUCAS
23/11/2017 07:45,"RUA OSVALDO FERREIRA, 185 - 35 BI",
23/11/2017 10:58,"RUA ROCHA POMBO , 438 - CONCEIÇÃO II",
23/11/2017 11:21,"RUA PONTE ESTREITA, 83 - CALUMBI",PROX A PANIFICADORA ARCO ÍRIS
23/11/2017 11:22,"RUA PLATINA, 190 - RUA NOVA",PX/ AO MERCADINHO KI-PREÇO
23/11/2017 13:57,"RUA CLODOALDO , 249 - CIDADE NOVA",COLÉGIO MARIO PESSOA
23/11/2017 16:44,"RUA INACIO SOARES, 171 - CAMPO LIMPO",
27/11/2017 17:06,"AVENIDA JOÃO DURVAL CARNEIRO , PX 541 - BRASILIA",PX AO ESCOLA POLIVALENTE
28/11/2017 09:02,"TRAVESSA DA MANGUEIRA, 16 - SOBRADINHO",COLÉGIO CARMEN ANDRADE
28/11/2017 09:38,"RUA CRUZ DA MOTA, 528 - GABRIELA",PX/ A SABICA
28/11/2017 10:56,"RUA OSVALDO BOAVENTURA, SN - VILA GABRIELA",
28/11/2017 11:01,"RUA A, 127 - CONJ FEIRA IX -CALUMBI",PX A IGREJA CATOLICA
28/11/2017 11:14,"RUA JOSIAS RODRIGUES SAMPAIO, SN - PAPAGAIO",
28/11/2017 12:39,"RUA PEQUIM , PX 62 - OLHOS D'AGUA",
28/11/2017 16:32,"CAMINHO 17, 11 - FEIRA IX",
28/11/2017 16:38,"RUA AEROCLUBE, 169 - CAMPO LIMPO",
29/11/2017 10:13,"RUA BERTULINA CARNEIRO, 1978 - CAMPO LIMPO",
29/11/2017 11:24,"RUA OSCAR MESQUITA, SN - BARAUNAS",
29/11/2017 13:21,"RUA ADALTRO PEREIRA DE SOUZA, 55 - QUEIMADINHA",
29/11/2017 15:12,"TRAVESSA SANTO ANTONIO, 203 - PAMPALONA",PX UNIDADE DA PAMPALONA DOUTOR CARLITO GUIMARÃES OLIVEIRA
29/11/2017 16:15,"RUA ANDARAI, 88 - JARDIM CRUZEIRO",VIZINHO A IGREJA DOS MORMOS
29/11/2017 16:17,"RUA MARAGOGIPE, 218 - JARDIM CRUZEIRO",EM FRENTE A IGREJA DOS MORMOS
30/11/2017 08:10,"RUA RAMOS , 155 - PARQUE GETÚLIO VARGAS",PX/ AO PRÉDIO AMARO
30/11/2017 09:50,"RUA KAIROS, 115 - GABRIELA",PROXIMO A ESCOLA REVERENDO SEVERINO SOARES
30/11/2017 10:50,"RUA A , 10 - CONJUNTO FEIRA NOVE - CALUMBI",APOS A IGREJA CATÓLICA
30/11/2017 12:23,"TRAVESSA TANCREDO NEVES, 205 - CAMPO DO GADO NOVO",
30/11/2017 13:19,"RUA B , 51 - CONJ FEIRA VI - CAMPO LIMPO",APOS A FARMÁCIA MAINARA
30/11/2017 19:10,"RUA CAPITÓLIO , 154 - CONCEICAO",
30/11/2017 19:14,"RUA MORRO MARROM, 32 - CONCEICAO",
